iter	Passed	Remaining
0	125	62489
1	218	54410
22	493	817553	393	48852
4	489	48488
5	510	41992
6	516	36391
7	531	32665
8	579	31622
9	588	28819
10	655	29144
11	793	32258
12	840	31470
13	876	30420
14	918	29713
15	1028	31110
16	1080	30694
17	1087	29120
18	1097	27795
19	1142	27417
20	1206	27519
21	1239	26929
22	1258	26093
23	1264	25079
24	1277	24272
25	1301	23726
26	1311	22974
27	1319	22249
28	1326	21544
29	1419	22232
30	1430	21646
31	1444	21130
32	1474	20863
33	1512	20730
34	1522	20224
35	1531	19740
36	1571	19663
37	1585	19277
38	1591	18808
39	1597	18366
40	1606	17987
41	1631	17794
42	1659	17634343	1674	17354444	1681	169945	1952	19273
46	1994	19228
47	2078	19575
48	2144	19736
49	2197	19776
50	2307	20312
51	2337	20134
52	2400	20245
53	2412	19923
54	2432	19679
55	2448	19412
56	2480	19277
57	2487	18954
58	2507	18744
59	2533	18576
60	2538	18272
61	2566	18129
62	2576	17870
63	2594	17677
64	2624	17566
65	2637	17341
66	2642	17077
67	2667	16947
68	2702	16881
69	2757	16941
70	2801	16929
71	2812	16717
72	2839	16609
73	2854	16435
74	2879	16318
75	2885	16100
76	2905	15961
77	2928	15845
78	2978	15872
79	2991	15707
80	3007	15558
81	3021	15404
82	3046	15308
83	3108	15393
84	3114	15207
85	3128	15061
86	3140	14908
87	3152	14759
8888	2877	13287
89	2948	13433
90	2963	13329191	2990	132692	3317	14517
93	3410	14729
94	3429	14621
95	3435	14457
96	3459	14373
9797	3182	130598	3571	14465
99	3575	14303
10100	3350	13238
101	3358	131010102	3409	13141
103	3497	13317
104	3584	13482
105	3589	13342
106	3594	13202
107	3620	13141
108	3636	13045
109	3668	13006
110	3680	12899
111	3706	12842
112	3747	12835
113	3753	12710
114	3767	12612
115	3797	12571
116	3818	12500
117	3824	12381
118	3855	12342
119	3928	12440
120	3954	12386
121	3980	12334
122	3987	12221
123	4026	12209
124	4064	12192
125	4114	122112126	4122	12106
127	4131	12006
128	4165	119712129	4173	118713130	4180	1177131	4511	12578
13132	4217	116313133	4245	1159134	4626	12507
135	4640	12421
136	4655	12335
137	4696	12320
138	4741	12313
139	4768	12261
140	4785	12184
141	4793	12084
142	4829	12057
143	4867	12034
144	4912	12027
145	4918	11924
146	4922	11821
147	4930	11725
148	4935	11625
149	4939	11525
150	4967	11480
151	5022	11499
152	5041	11433
153	5056	11361
154	5090	11330
155	5098	11242
156	5110	11164
157	5122	11088
158	5148	11042
159	5154	10953
160	5160	10866
161	5176	10801
162	5203	10758
163	5233	10721
164	5238	10635
165	5254	10571
166	5342	10653
167	5470	10811
168	5501	10775
169	5512	10699
170	5525	10631
171	5537	10559
172	5563	10516
173	5572	10440
174	5596	10393
175	5613	10334
176	5620	10256
177	5638	10200
178	5645	10123
179	5664	10070
180	5700	10047
181	5708	9973
182	5747	9955
183	5766	9902
184	5775	9833
185	5781	9759
186	5786	9685
187	5820	9660
188	5830	9593
189	5840	9528
190	5855	9472
191	5867	9412
192	5873	9342
193	5929	9353
194	5948	9304
195	5957	9239
196	6045	9297
197	6064	9250
198	6081	9198
199	6109	9163
200	6113	9094
201	6117	90203	5790	8402
204	5880	8461
205	5893	84206206	5955	8430
207	6030	8465
208	6103	8497
209	6174	8527
210	6196	8487
211	6232	8466
212	6315	8509
213	6365	8507
214	6379	8456
215	6401	8416
216	6417	8369
217	6466	8364
218	6500	8340
219	6530	8311
220	6572	8297
221	6589	8251
222	6624	8228
223	6637	8178
224	6658	8138
225	6681	8099
226	6709	8069
227	6735	8035
228	6764	8005
229	6796	7978
230	6877	8009
231	6974	8056
232	6983	8003
233	7017	7977
234	7026	7922
235	7042	7877
236	7052	7826
237	7058	7770
238	7073	7724
239	7093	7685
240	7098	76241	7554	8054
242	7592	8029
243	7617	7992
244	7626	7937
245	7730	7982
246	7746	7934
247	7762	7887
248	7767	7829
249	7821	7821
250	7842	7780
251	7856	7731
252	7886	7699
253	7940	7690
254	7960	7648
255	7989	7614
256	8102	7660
257	8120	7616
258	8133	7567
259	8194	7563
260	8206	7514
261	8230	7476
262	8249	7434
263	8267	7390
264	8302	7362
265	8335	7332
266	8389	7321
267	8396	7268
268	8442	7249
269	8449	7197
270	8476	7163
271	8483	7111
272	8490	7059
273	8542	7045
274	8593	7030
275	8614	6991
276	8647	6961
277	8730	6972
278	8803	6972
279	8871	6970
280	8900	6937
281	8916	6892
282	8932	6849
283	8941	6800
284	8972	6768
285	8992	6728
286	9001	6680
287	9008	6631
288	9023	6588
289	9038	6545
290	9072	6515
291	9091	6475
292	9212	6508
293	9237	6472
294	9243	6423
295	9259	6381
296	9273	6338
297	9359	6344
298	9405	6322
299	9415	6277
300	9421	6228
301	9454	6198
302	9524	6192
303	9536	6148
304	9558	6111
305	9581	6074
306	9625	6051
307	9648	6014
308	9652	5966
309	9658	5919
310	9669	5876
311	9675	5830
312	9725	5810
313	9735	5767
314	9757	5730
315	9775	5691
316	9790	5651
317	9804	5611
318	9821	5572
319	9840	5535
320	9847	5491
321	9860	5450
322	9891	5420
323	9909	5383
324	9932	5348
325	9954	5313
326	9979	5279
327	9996	5242
328	10017	5206
329	10054	5179
330	10091	5152
331	10113	5117
332	10151	5090
333	10222	5080
334	10270	5058
335	10284	5019
336	10322	4992
337	10351	4961
338	10401	4940
339	10421	4904
340	10443	4869
341	10486	4844
342	10509	4810
343	10579	4797
344	10601	4763
345	10662	4745
346	10676	4707
347	10684	4666
348	10702	4630
349	10753	4608
350	10778	4575
351	10817	4548
352	10844	4516
353	10915	4501
354	10968	4480
355	11003	4451
356	11011	4410
357	11041	4379
358	11053	4341
359	11064	4302
360	11069	4262
361	11075	4222
362	11080	4181
363	11087	4142
364	11093	4103
365	11102	4064
366	11139	4036
367	11199	4017
368	11204	3977
369	11248	3952
370	11294	3927
371	11316	3893
372	11380	3875
373	11422	3848
374	11538	3846
375	11583	3819
376	11597	3783
377	11638	3756
378	11684	3730
379	11749	3710
380	11761	3673
381	11789	3641
382	11811	3608
383	11819	3570
384	11843	3537
385	11850	3499
386	11857	3462
387	11864	3424
388	11877	3389
389	11930	3364
390	11945	3330
391	11952	3292
392	11966	3257
393	11977	3222
394	11994	3188
395	12003	3152
396	12031	3121
397	12055	3089
398	12076	3057
399	12135	3033
400	12153	3000
401	12163	2965
402	12243	2947
403	12253	2911
404	12266	2877
405	12295	2846
406	12308	2812
407	12334	2781
408	12342	2746
409	12348	2710
410	12354	2675
411	12360	2640
412	12366	2605
413	12387	2573
414	12391	2538
415	12403	2504
416	12408	2469
417	12416	2435
418	12422	2401
419	12426	2367
420	12431422	12421	12448423	12096	2168
424	12103	2135
425	12424	12477	2201
425	12482427	12150	2043
428	12155	2011
429	12161	1979
430	12171	1948
431	12178	1916
432	12206	1888
433	12230	1859
434	12243	1829
435	12259	1799
436	12274	1769
437	12284	1738
438	12302	1709
439	12307	1678
440	12312	1647
441	12316	1616
442	12321	1585
443	12329	1555
444	12338	1524
445	12343	1494
446	12350	1464
447	12356	1434
448	12361	1404
449	12367	1374
450	12378	1344
451	12390	1315
452	12395	1286
453	12408	1257
454	12428	1229
455	12442	1200
456	12459	1172
457	12466	1143
458	12477	1114
459	12488	1085
460	12502	1057
461	12512	1029
462	12517	1000
463	12524	971
464	12534	943
465	12547	915
466	12558	887
467	12571	859
468	12580	831
469	12591	803
470	12601	775
471	12610	748
472	12630	720
473	12635	693
474	12644	665
475	12648	637
476	12653	610
477	12657	582
478	12661	555
479	12665	527
480	12669	500
481	12673	473
482	12678	446
483	12683	419
484	12687	392
485	12691	365
486	12695	338
487	12699	312
488	12703	285
489	12740	260
490	12746	233
491	12751	207
492	12754	181
493	12758	154
494	12764	128
495	12769	102
496	12773	77
497	12811	51
498	12815	25
499	12845	0
12957	25
499	12961	0
